✅ Sinabs loaded successfully
🧹 Wiping all previous session artifacts from the cluster node...
✅ Node disk and OS memory caches cleared cleanly.
🚀 Baseline Training started on node301 at Tue Jun 30 14:38:17 CEST 2026
📦 Dataset initialized with 200 fully uniform, padded samples.
📊 Dataset splits mapped cleanly -> Train: 140 | Val: 30 | Test: 30
🚀 TRAINING START: Silicon-Native 9-Core SNN
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 31.4% (22/70) | Batch Loss: 0.6933 | Job Runtime: 98.4m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 37.1% (26/70) | Batch Loss: 0.6998 | Job Runtime: 100.8m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 42.9% (30/70) | Batch Loss: 0.6948 | Job Runtime: 103.2m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 48.6% (34/70) | Batch Loss: 0.6911 | Job Runtime: 105.5m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 54.3% (38/70) | Batch Loss: 0.6963 | Job Runtime: 107.9m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 60.0% (42/70) | Batch Loss: 0.6947 | Job Runtime: 110.3m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 65.7% (46/70) | Batch Loss: 0.6945 | Job Runtime: 112.7m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 71.4% (50/70) | Batch Loss: 0.6937 | Job Runtime: 115.1m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 77.1% (54/70) | Batch Loss: 0.6967 | Job Runtime: 117.5m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 82.9% (58/70) | Batch Loss: 0.6945 | Job Runtime: 119.9m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 88.6% (62/70) | Batch Loss: 0.6915 | Job Runtime: 122.3m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 94.3% (66/70) | Batch Loss: 0.6764 | Job Runtime: 124.7m
   ⏳ [TRAIN HEARTBEAT] Epoch 03 | Progress: 100.0% (70/70) | Batch Loss: 0.6760 | Job Runtime: 127.1m
⏱️ Epoch 03/50 | Avg Train Loss: 0.6930 | Val Acc: 63.33% | Best: 63.33% | Epoch Time: 2545.7s 🌟 [SAVED NEW BEST!]
   ⏳ [TRAIN HEARTBEAT] Epoch 04 | Progress: 4.3% (3/70) | Batch Loss: 0.7541 | Job Runtime: 129.4m
   ⏳ [TRAIN HEARTBEAT] Epoch 04 | Progress: 10.0% (7/70) | Batch Loss: 0.6861 | Job Runtime: 131.8m
   ⏳ [TRAIN HEARTBEAT] Epoch 04 | Progress: 15.7% (11/70) | Batch Loss: 0.6911 | Job Runtime: 134.2m
   ⏳ [TRAIN HEARTBEAT] Epoch 04 | Progress: 21.4% (15/70) | Batch Loss: 0.7028 | Job Runtime: 136.6m
   ⏳ [TRAIN HEARTBEAT] Epoch 04 | Progress: 27.1% (19/70) | Batch Loss: 0.6918 | Job Runtime: 139.0m
   ⏳ [TRAIN HEARTBEAT] Epoch 04 | Progress: 32.9% (23/70) | Batch Loss: 0.6964 | Job Runtime: 141.4m
   ⏳ [TRAIN HEARTBEAT] Epoch 04 | Progress: 38.6% (27/70) | Batch Loss: 0.6975 | Job Runtime: 143.8m
   ⏳ [TRAIN HEARTBEAT] Epoch 04 | Progress: 44.3% (31/70) | Batch Loss: 0.6943 | Job Runtime: 146.2m
